scenario_id,strategy,latency_ms,cpu_ms,error,
S00000,Embed,2.191,0.738,None,
S00000,Reference,2.382,0.698,None,
S00000,Hybrid,1.916,0.744,None,
S00001,Embed,1.864,0.704,None,
S00001,Reference,21.862,7.228,None,
S00001,Hybrid,15.141,4.808,None,
S00002,Embed,1.702,0.622,None,
S00002,Reference,62.251,18.55,None,
S00002,Hybrid,42.423,12.484,None,
S00003,Embed,1.369,0.475,None,
S00003,Reference,1.526,0.511,None,
S00003,Hybrid,1.527,0.525,None,
S00004,Embed,1.342,0.477,None,
S00004,Reference,14.423,4.676,None,
S00004,Hybrid,10.273,3.032,None,
S00005,Embed,1.536,0.592,None,
S00005,Reference,56.812,17.595,None,
S00005,Hybrid,43.574,13.057,None,
S00006,Embed,1.456,0.562,None,
S00006,Reference,6.642,0.753,None,
S00006,Hybrid,4.741,0.657,None,
S00007,Embed,1.259,0.471,None,
S00007,Reference,19.028,4.476,None,
S00007,Hybrid,24.041,4.886,None,
S00008,Embed,1.512,0.574,None,
S00008,Reference,71.226,20.948,None,
S00008,Hybrid,52.781,14.347,None,
S00009,Embed,1.601,0.596,None,
S00009,Reference,6.587,0.821,None,
S00009,Hybrid,5.401,0.667,None,
S00010,Embed,1.47,0.592,None,
S00010,Reference,21.296,4.977,None,
S00010,Hybrid,14.794,3.681,None,
S00011,Embed,1.231,0.435,None,
S00011,Reference,70.363,20.476,None,
S00011,Hybrid,46.999,13.348,None,
S00012,Embed,1.458,0.547,None,
S00012,Reference,1.775,0.526,None,
S00012,Hybrid,2.102,0.743,None,
S00013,Embed,1.522,0.585,None,
S00013,Reference,26.827,7.69,None,
S00013,Hybrid,13.771,4.281,None,
S00014,Embed,1.313,0.482,None,
S00014,Reference,103.008,28.747,None,
S00014,Hybrid,46.282,14.35,None,
S00015,Embed,1.183,0.427,None,
S00015,Reference,1.962,0.692,None,
S00015,Hybrid,1.79,0.599,None,
S00016,Embed,1.443,0.555,None,
S00016,Reference,15.049,5.061,None,
S00016,Hybrid,12.825,4.217,None,
S00017,Embed,1.19,0.455,None,
S00017,Reference,56.383,16.958,None,
S00017,Hybrid,50.344,15.565,None,
S00018,Embed,1.357,0.512,None,
S00018,Reference,6.673,0.829,None,
S00018,Hybrid,8.455,1.277,None,
S00019,Embed,4.86,0.951,None,
S00019,Reference,22.056,5.819,None,
S00019,Hybrid,17.861,4.72,None,
S00020,Embed,2.185,0.731,None,
S00020,Reference,62.669,18.091,None,
S00020,Hybrid,56.254,15.78,None,
S00021,Embed,1.531,0.549,None,
S00021,Reference,7.021,0.895,None,
S00021,Hybrid,6.628,0.819,None,
S00022,Embed,1.54,0.583,None,
S00022,Reference,18.431,4.388,None,
S00022,Hybrid,16.061,4.009,None,
S00023,Embed,1.342,0.495,None,
S00023,Reference,61.11,16.952,None,
S00023,Hybrid,56.97,16.273,None,
S00024,Embed,1.445,0.551,None,
S00024,Reference,1.95,0.596,None,
S00024,Hybrid,3.848,1.078,None,
S00025,Embed,3.114,0.793,None,
S00025,Reference,20.356,6.021,None,
S00025,Hybrid,10.877,3.193,None,
S00026,Embed,1.409,0.494,None,
S00026,Reference,64.024,17.104,None,
S00026,Hybrid,48.73,12.872,None,
S00027,Embed,1.633,0.604,None,
S00027,Reference,1.968,0.59,None,
S00027,Hybrid,2.403,0.729,None,
S00028,Embed,1.901,0.684,None,
S00028,Reference,23.036,6.809,None,
S00028,Hybrid,11.913,3.493,None,
S00029,Embed,1.356,0.51,None,
S00029,Reference,64.435,17.448,None,
S00029,Hybrid,63.947,16.831,None,
S00030,Embed,1.455,0.52,None,
S00030,Reference,7.614,0.885,None,
S00030,Hybrid,5.725,0.782,None,
S00031,Embed,2.782,0.984,None,
S00031,Reference,29.063,6.719,None,
S00031,Hybrid,14.577,3.74,None,
S00032,Embed,2.282,0.668,None,
S00032,Reference,76.645,19.287,None,
S00032,Hybrid,58.836,13.108,None,
S00033,Embed,1.634,0.617,None,
S00033,Reference,6.825,0.864,None,
S00033,Hybrid,6.002,0.633,None,
S00034,Embed,1.415,0.5,None,
S00034,Reference,20.967,4.894,None,
S00034,Hybrid,16.174,3.559,None,
S00035,Embed,1.136,0.387,None,
S00035,Reference,95.962,22.436,None,
S00035,Hybrid,55.194,14.517,None,
S00036,Embed,1.608,0.614,None,
S00036,Reference,2.159,0.678,None,
S00036,Hybrid,1.991,0.62,None,
S00037,Embed,1.265,0.469,None,
S00037,Reference,17.921,4.995,None,
S00037,Hybrid,13.621,4.146,None,
S00038,Embed,1.335,0.513,None,
S00038,Reference,62.599,16.817,None,
S00038,Hybrid,56.851,16.193,None,
S00039,Embed,1.479,0.567,None,
S00039,Reference,2.932,0.757,None,
S00039,Hybrid,2.122,0.701,None,
S00040,Embed,1.691,0.624,None,
S00040,Reference,16.128,4.66,None,
S00040,Hybrid,13.279,3.936,None,
S00041,Embed,1.531,0.568,None,
S00041,Reference,72.581,19.508,None,
S00041,Hybrid,59.981,16.623,None,
S00042,Embed,1.6,0.598,None,
S00042,Reference,7.107,0.785,None,
S00042,Hybrid,5.656,0.815,None,
S00043,Embed,1.482,0.599,None,
S00043,Reference,18.91,4.424,None,
S00043,Hybrid,16.801,3.999,None,
S00044,Embed,1.371,0.486,None,
S00044,Reference,66.708,16.628,None,
S00044,Hybrid,55.544,14.652,None,
S00045,Embed,1.361,0.502,None,
S00045,Reference,7.061,0.771,None,
S00045,Hybrid,6.19,0.72,None,
S00046,Embed,1.336,0.494,None,
S00046,Reference,20.077,4.244,None,
S00046,Hybrid,18.827,4.352,None,
S00047,Embed,3.318,0.775,None,
S00047,Reference,70.694,17.335,None,
S00047,Hybrid,51.329,14.212,None,
S00048,Embed,1.715,0.582,None,
S00048,Reference,1.651,0.553,None,
S00048,Hybrid,1.635,0.549,None,
S00049,Embed,1.373,0.52,None,
S00049,Reference,14.404,4.581,None,
S00049,Hybrid,11.344,3.582,None,
S00050,Embed,1.176,0.435,None,
S00050,Reference,56.127,16.617,None,
S00050,Hybrid,39.791,11.807,None,
S00051,Embed,1.451,0.557,None,
S00051,Reference,1.814,0.661,None,
S00051,Hybrid,1.492,0.512,None,
S00052,Embed,1.39,0.54,None,
S00052,Reference,14.576,4.718,None,
S00052,Hybrid,10.974,3.587,None,
S00053,Embed,1.417,0.503,None,
S00053,Reference,64.453,18.699,None,
S00053,Hybrid,39.555,11.749,None,
S00054,Embed,2.104,0.843,None,
S00054,Reference,6.612,1.06,None,
S00054,Hybrid,5.251,0.872,None,
S00055,Embed,1.703,0.795,None,
S00055,Reference,19.207,4.857,None,
S00055,Hybrid,10.337,2.575,None,
S00056,Embed,1.539,0.609,None,
S00056,Reference,60.126,16.726,None,
S00056,Hybrid,47.223,12.837,None,
S00057,Embed,1.448,0.549,None,
S00057,Reference,7.048,0.805,None,
S00057,Hybrid,4.277,0.613,None,
S00058,Embed,1.141,0.403,None,
S00058,Reference,20.048,4.984,None,
S00058,Hybrid,10.89,2.678,None,
S00059,Embed,1.409,0.527,None,
S00059,Reference,71.701,19.758,None,
S00059,Hybrid,47.355,12.895,None,
S00060,Embed,1.945,0.731,None,
S00060,Reference,2.187,0.781,None,
S00060,Hybrid,2.319,0.837,None,
S00061,Embed,1.969,0.747,None,
S00061,Reference,14.344,4.702,None,
S00061,Hybrid,13.906,4.352,None,
S00062,Embed,2.488,0.846,None,
S00062,Reference,54.673,16.795,None,
S00062,Hybrid,42.577,13.259,None,
S00063,Embed,1.436,0.552,None,
S00063,Reference,1.521,0.502,None,
S00063,Hybrid,1.751,0.599,None,
S00064,Embed,1.161,0.431,None,
S00064,Reference,14.679,4.915,None,
S00064,Hybrid,11.497,3.748,None,
S00065,Embed,1.18,0.435,None,
S00065,Reference,55.91,17.058,None,
S00065,Hybrid,68.473,20.286,None,
S00066,Embed,2.444,0.75,None,
S00066,Reference,7.122,0.944,None,
S00066,Hybrid,6.12,1.032,None,
S00067,Embed,1.612,0.617,None,
S00067,Reference,26.576,7.523,None,
S00067,Hybrid,21.073,6.048,None,
S00068,Embed,1.665,0.628,None,
S00068,Reference,62.949,18.082,None,
S00068,Hybrid,54.068,15.054,None,
S00069,Embed,1.303,0.487,None,
S00069,Reference,6.214,0.755,None,
S00069,Hybrid,5.247,0.681,None,
S00070,Embed,1.353,0.502,None,
S00070,Reference,18.399,4.559,None,
S00070,Hybrid,15.223,3.688,None,
S00071,Embed,1.518,0.579,None,
S00071,Reference,72.846,19.911,None,
S00071,Hybrid,52.345,14.836,None,
S00072,Embed,1.83,0.851,None,
S00072,Reference,2.515,0.779,None,
S00072,Hybrid,1.857,0.58,None,
S00073,Embed,1.279,0.469,None,
S00073,Reference,16.023,4.497,None,
S00073,Hybrid,9.671,2.916,None,
S00074,Embed,1.291,0.471,None,
S00074,Reference,63.372,17.17,None,
S00074,Hybrid,31.564,8.882,None,
S00075,Embed,1.486,0.541,None,
S00075,Reference,2.148,0.676,None,
S00075,Hybrid,1.665,0.544,None,
S00076,Embed,1.417,0.527,None,
S00076,Reference,16.675,4.838,None,
S00076,Hybrid,14.201,3.639,None,
S00077,Embed,1.505,0.566,None,
S00077,Reference,63.676,17.219,None,
S00077,Hybrid,52.725,14.02,None,
S00078,Embed,2.051,0.603,None,
S00078,Reference,7.217,0.963,None,
S00078,Hybrid,6.162,0.834,None,
S00079,Embed,1.687,0.714,None,
S00079,Reference,19.291,4.231,None,
S00079,Hybrid,13.865,3.141,None,
S00080,Embed,1.348,0.477,None,
S00080,Reference,72.484,18.185,None,
S00080,Hybrid,35.8,9.023,None,
S00081,Embed,1.44,0.551,None,
S00081,Reference,6.835,0.863,None,
S00081,Hybrid,6.477,0.692,None,
S00082,Embed,1.617,0.611,None,
S00082,Reference,18.839,4.164,None,
S00082,Hybrid,12.841,2.894,None,
S00083,Embed,1.459,0.549,None,
S00083,Reference,71.807,16.91,None,
S00083,Hybrid,54.235,13.265,None,
S00084,Embed,1.372,0.499,None,
S00084,Reference,2.05,0.693,None,
S00084,Hybrid,2.294,0.786,None,
S00085,Embed,1.246,0.46,None,
S00085,Reference,17.03,5.008,None,
S00085,Hybrid,16.123,4.7,None,
S00086,Embed,1.132,0.4,None,
S00086,Reference,62.824,16.819,None,
S00086,Hybrid,55.054,15.609,None,
S00087,Embed,1.463,0.561,None,
S00087,Reference,2.548,0.61,None,
S00087,Hybrid,2.007,0.654,None,
S00088,Embed,1.399,0.543,None,
S00088,Reference,15.967,4.682,None,
S00088,Hybrid,12.222,3.826,None,
S00089,Embed,1.582,0.611,None,
S00089,Reference,62.777,17.049,None,
S00089,Hybrid,63.354,17.765,None,
S00090,Embed,2.339,0.838,None,
S00090,Reference,7.318,0.947,None,
S00090,Hybrid,6.433,0.828,None,
S00091,Embed,1.275,0.458,None,
S00091,Reference,19.796,4.158,None,
S00091,Hybrid,15.794,3.651,None,
S00092,Embed,1.455,0.53,None,
S00092,Reference,68.1,17.06,None,
S00092,Hybrid,56.401,14.443,None,
S00093,Embed,1.382,0.494,None,
S00093,Reference,6.539,0.844,None,
S00093,Hybrid,5.089,0.863,None,
S00094,Embed,1.458,0.557,None,
S00094,Reference,19.184,4.425,None,
S00094,Hybrid,13.926,3.52,None,
S00095,Embed,1.375,0.483,None,
S00095,Reference,76.596,18.95,None,
S00095,Hybrid,70.195,18.42,None,
S00096,Embed,1.431,0.54,None,
S00096,Reference,2.085,0.63,None,
S00096,Hybrid,1.593,0.513,None,
S00097,Embed,1.337,0.481,None,
S00097,Reference,16.14,4.606,None,
S00097,Hybrid,11.826,3.394,None,
S00098,Embed,1.474,0.566,None,
S00098,Reference,63.601,16.81,None,
S00098,Hybrid,43.047,11.384,None,
S00099,Embed,1.779,0.668,None,
S00099,Reference,2.423,0.581,None,
S00099,Hybrid,1.795,0.592,None,
S00100,Embed,1.406,0.515,None,
S00100,Reference,15.733,4.699,None,
S00100,Hybrid,9.435,2.765,None,
S00101,Embed,1.673,0.616,None,
S00101,Reference,74.753,19.375,None,
S00101,Hybrid,62.123,17.873,None,
S00102,Embed,1.853,0.701,None,
S00102,Reference,7.59,0.972,None,
S00102,Hybrid,5.349,0.822,None,
S00103,Embed,1.854,0.722,None,
S00103,Reference,25.993,6.237,None,
S00103,Hybrid,14.127,3.016,None,
S00104,Embed,1.697,0.656,None,
S00104,Reference,69.368,16.713,None,
S00104,Hybrid,40.041,9.868,None,
S00105,Embed,1.662,0.602,None,
S00105,Reference,7.868,1.007,None,
S00105,Hybrid,4.558,0.73,None,
S00106,Embed,1.523,0.544,None,
S00106,Reference,23.749,5.166,None,
S00106,Hybrid,15.87,3.683,None,
S00107,Embed,1.509,0.526,None,
S00107,Reference,71.999,18.555,None,
S00107,Hybrid,44.17,10.927,None,
S00108,Embed,1.65,0.632,None,
S00108,Reference,2.266,0.734,None,
S00108,Hybrid,1.845,0.586,None,
S00109,Embed,1.302,0.471,None,
S00109,Reference,16.023,4.621,None,
S00109,Hybrid,13.256,3.932,None,
S00110,Embed,1.553,0.569,None,
S00110,Reference,65.62,17.844,None,
S00110,Hybrid,47.756,13.879,None,
S00111,Embed,1.599,0.62,None,
S00111,Reference,1.996,0.609,None,
S00111,Hybrid,2.108,0.738,None,
S00112,Embed,1.37,0.497,None,
S00112,Reference,24.739,6.212,None,
S00112,Hybrid,13.127,3.808,None,
S00113,Embed,1.666,0.582,None,
S00113,Reference,71.667,19.004,None,
S00113,Hybrid,62.021,17.084,None,
S00114,Embed,1.508,0.568,None,
S00114,Reference,6.908,0.884,None,
S00114,Hybrid,5.846,0.903,None,
S00115,Embed,1.363,0.476,None,
S00115,Reference,21.844,5.298,None,
S00115,Hybrid,18.928,4.464,None,
S00116,Embed,1.68,0.65,None,
S00116,Reference,73.678,18.893,None,
S00116,Hybrid,73.25,19.817,None,
S00117,Embed,1.482,0.53,None,
S00117,Reference,6.851,0.913,None,
S00117,Hybrid,5.945,0.846,None,
S00118,Embed,1.761,0.7,None,
S00118,Reference,20.368,4.553,None,
S00118,Hybrid,16.839,3.751,None,
S00119,Embed,1.497,0.546,None,
S00119,Reference,72.254,18.932,None,
S00119,Hybrid,52.447,14.271,None,
S00120,Embed,1.63,0.597,None,
S00120,Reference,3.822,0.655,None,
S00120,Hybrid,2.306,0.554,None,
S00121,Embed,1.492,0.509,None,
S00121,Reference,29.95,4.358,None,
S00121,Hybrid,17.647,2.726,None,
S00122,Embed,1.845,0.686,None,
S00122,Reference,135.054,20.228,None,
S00122,Hybrid,83.149,12.437,None,
S00123,Embed,1.538,0.562,None,
S00123,Reference,7.212,0.702,None,
S00123,Hybrid,2.917,0.654,None,
S00124,Embed,1.448,0.528,None,
S00124,Reference,26.777,4.031,None,
S00124,Hybrid,14.163,2.383,None,
S00125,Embed,1.314,0.475,None,
S00125,Reference,158.423,21.737,None,
S00125,Hybrid,82.119,12.085,None,
S00126,Embed,1.478,0.544,None,
S00126,Reference,9.678,0.922,None,
S00126,Hybrid,7.293,0.73,None,
S00127,Embed,1.374,0.482,None,
S00127,Reference,34.111,4.967,None,
S00127,Hybrid,19.574,2.569,None,
S00128,Embed,1.614,0.589,None,
S00128,Reference,135.54,21.135,None,
S00128,Hybrid,148.696,18.191,None,
S00129,Embed,1.654,0.616,None,
S00129,Reference,8.628,0.795,None,
S00129,Hybrid,6.883,0.707,None,
S00130,Embed,1.817,0.665,None,
S00130,Reference,50.746,4.394,None,
S00130,Hybrid,30.033,3.817,None,
S00131,Embed,1.558,0.586,None,
S00131,Reference,145.98,20.463,None,
S00131,Hybrid,74.228,10.878,None,
S00132,Embed,1.838,0.685,None,
S00132,Reference,3.672,0.732,None,
S00132,Hybrid,2.711,0.649,None,
S00133,Embed,1.3,0.448,None,
S00133,Reference,30.167,4.86,None,
S00133,Hybrid,24.436,4.399,None,
S00134,Embed,2.05,0.833,None,
S00134,Reference,154.569,24.809,None,
S00134,Hybrid,118.251,18.767,None,
S00135,Embed,1.522,0.569,None,
S00135,Reference,3.848,0.785,None,
S00135,Hybrid,3.227,0.719,None,
S00136,Embed,1.569,0.554,None,
S00136,Reference,34.2,4.871,None,
S00136,Hybrid,22.286,3.701,None,
S00137,Embed,1.632,0.605,None,
S00137,Reference,165.808,22.214,None,
S00137,Hybrid,100.388,18.046,None,
S00138,Embed,1.608,0.604,None,
S00138,Reference,9.081,0.773,None,
S00138,Hybrid,6.332,0.785,None,
S00139,Embed,1.43,0.527,None,
S00139,Reference,37.785,5.037,None,
S00139,Hybrid,28.715,4.226,None,
S00140,Embed,1.616,0.608,None,
S00140,Reference,151.939,22.022,None,
S00140,Hybrid,112.515,18.558,None,
S00141,Embed,1.79,0.641,None,
S00141,Reference,8.632,0.883,None,
S00141,Hybrid,7.852,0.966,None,
S00142,Embed,1.493,0.548,None,
S00142,Reference,33.575,4.81,None,
S00142,Hybrid,25.691,4.065,None,
S00143,Embed,1.489,0.549,None,
S00143,Reference,139.368,22.927,None,
S00143,Hybrid,101.902,14.088,None,
S00144,Embed,1.588,0.545,None,
S00144,Reference,1.771,0.513,None,
S00144,Hybrid,1.991,0.667,None,
S00145,Embed,1.475,0.561,None,
S00145,Reference,19.919,4.489,None,
S00145,Hybrid,8.571,2.514,None,
S00146,Embed,1.367,0.495,None,
S00146,Reference,64.546,17.341,None,
S00146,Hybrid,80.07,21.519,None,
S00147,Embed,2.469,0.822,None,
S00147,Reference,2.68,0.849,None,
S00147,Hybrid,4.615,1.106,None,
S00148,Embed,2.042,0.838,None,
S00148,Reference,20.03,5.961,None,
S00148,Hybrid,10.868,3.311,None,
S00149,Embed,1.707,0.657,None,
S00149,Reference,71.779,20.305,None,
S00149,Hybrid,48.629,12.071,None,
S00150,Embed,1.494,0.584,None,
S00150,Reference,6.942,0.859,None,
S00150,Hybrid,5.334,0.719,None,
S00151,Embed,3.214,0.909,None,
S00151,Reference,23.021,5.469,None,
S00151,Hybrid,17.613,4.131,None,
S00152,Embed,2.032,0.742,None,
S00152,Reference,93.395,24.177,None,
S00152,Hybrid,48.608,12.1,None,
S00153,Embed,1.893,0.692,None,
S00153,Reference,7.159,0.778,None,
S00153,Hybrid,4.506,0.679,None,
S00154,Embed,1.446,0.557,None,
S00154,Reference,20.759,4.479,None,
S00154,Hybrid,14.505,3.058,None,
S00155,Embed,1.552,0.617,None,
S00155,Reference,68.001,17.017,None,
S00155,Hybrid,42.833,10.899,None,
S00156,Embed,3.579,0.847,None,
S00156,Reference,6.015,1.825,None,
S00156,Hybrid,2.168,0.72,None,
S00157,Embed,1.528,0.563,None,
S00157,Reference,15.914,4.728,None,
S00157,Hybrid,17.115,5.525,None,
S00158,Embed,1.619,0.624,None,
S00158,Reference,73.633,20.193,None,
S00158,Hybrid,54.235,15.535,None,
S00159,Embed,1.528,0.574,None,
S00159,Reference,2.08,0.653,None,
S00159,Hybrid,1.745,0.578,None,
S00160,Embed,1.512,0.541,None,
S00160,Reference,16.676,4.882,None,
S00160,Hybrid,15.094,4.603,None,
S00161,Embed,1.565,0.584,None,
S00161,Reference,67.335,18.991,None,
S00161,Hybrid,63.277,17.865,None,
S00162,Embed,1.555,0.587,None,
S00162,Reference,7.203,0.891,None,
S00162,Hybrid,6.07,0.697,None,
S00163,Embed,1.857,0.691,None,
S00163,Reference,23.703,6.144,None,
S00163,Hybrid,17.1,4.19,None,
S00164,Embed,1.701,0.638,None,
S00164,Reference,73.416,19.746,None,
S00164,Hybrid,60.487,16.401,None,
S00165,Embed,1.6,0.621,None,
S00165,Reference,7.072,0.845,None,
