scenario_id,read_ratio,payload_size_b,cardinality,nested_depth,working_set_ratio,query_selectivity,consistency_penalty_ms,index_coverage,join_fan_out
S00000,0.2,128,10,1,0.1,0.05,0,none,1
S00001,0.2,128,10,1,0.1,0.05,0,none,10
S00002,0.2,128,10,1,0.1,0.05,0,none,50
S00003,0.2,128,10,1,0.1,0.05,0,full,1
S00004,0.2,128,10,1,0.1,0.05,0,full,10
S00005,0.2,128,10,1,0.1,0.05,0,full,50
S00006,0.2,128,10,1,0.1,0.05,5,none,1
S00007,0.2,128,10,1,0.1,0.05,5,none,10
S00008,0.2,128,10,1,0.1,0.05,5,none,50
S00009,0.2,128,10,1,0.1,0.05,5,full,1
S00010,0.2,128,10,1,0.1,0.05,5,full,10
S00011,0.2,128,10,1,0.1,0.05,5,full,50
S00012,0.2,128,10,1,0.1,0.5,0,none,1
S00013,0.2,128,10,1,0.1,0.5,0,none,10
S00014,0.2,128,10,1,0.1,0.5,0,none,50
S00015,0.2,128,10,1,0.1,0.5,0,full,1
S00016,0.2,128,10,1,0.1,0.5,0,full,10
S00017,0.2,128,10,1,0.1,0.5,0,full,50
S00018,0.2,128,10,1,0.1,0.5,5,none,1
S00019,0.2,128,10,1,0.1,0.5,5,none,10
S00020,0.2,128,10,1,0.1,0.5,5,none,50
S00021,0.2,128,10,1,0.1,0.5,5,full,1
S00022,0.2,128,10,1,0.1,0.5,5,full,10
S00023,0.2,128,10,1,0.1,0.5,5,full,50
S00024,0.2,128,10,1,0.9,0.05,0,none,1
S00025,0.2,128,10,1,0.9,0.05,0,none,10
S00026,0.2,128,10,1,0.9,0.05,0,none,50
S00027,0.2,128,10,1,0.9,0.05,0,full,1
S00028,0.2,128,10,1,0.9,0.05,0,full,10
S00029,0.2,128,10,1,0.9,0.05,0,full,50
S00030,0.2,128,10,1,0.9,0.05,5,none,1
S00031,0.2,128,10,1,0.9,0.05,5,none,10
S00032,0.2,128,10,1,0.9,0.05,5,none,50
S00033,0.2,128,10,1,0.9,0.05,5,full,1
S00034,0.2,128,10,1,0.9,0.05,5,full,10
S00035,0.2,128,10,1,0.9,0.05,5,full,50
S00036,0.2,128,10,1,0.9,0.5,0,none,1
S00037,0.2,128,10,1,0.9,0.5,0,none,10
S00038,0.2,128,10,1,0.9,0.5,0,none,50
S00039,0.2,128,10,1,0.9,0.5,0,full,1
S00040,0.2,128,10,1,0.9,0.5,0,full,10
S00041,0.2,128,10,1,0.9,0.5,0,full,50
S00042,0.2,128,10,1,0.9,0.5,5,none,1
S00043,0.2,128,10,1,0.9,0.5,5,none,10
S00044,0.2,128,10,1,0.9,0.5,5,none,50
S00045,0.2,128,10,1,0.9,0.5,5,full,1
S00046,0.2,128,10,1,0.9,0.5,5,full,10
S00047,0.2,128,10,1,0.9,0.5,5,full,50
S00048,0.2,128,10,3,0.1,0.05,0,none,1
S00049,0.2,128,10,3,0.1,0.05,0,none,10
S00050,0.2,128,10,3,0.1,0.05,0,none,50
S00051,0.2,128,10,3,0.1,0.05,0,full,1
S00052,0.2,128,10,3,0.1,0.05,0,full,10
S00053,0.2,128,10,3,0.1,0.05,0,full,50
S00054,0.2,128,10,3,0.1,0.05,5,none,1
S00055,0.2,128,10,3,0.1,0.05,5,none,10
S00056,0.2,128,10,3,0.1,0.05,5,none,50
S00057,0.2,128,10,3,0.1,0.05,5,full,1
S00058,0.2,128,10,3,0.1,0.05,5,full,10
S00059,0.2,128,10,3,0.1,0.05,5,full,50
S00060,0.2,128,10,3,0.1,0.5,0,none,1
S00061,0.2,128,10,3,0.1,0.5,0,none,10
S00062,0.2,128,10,3,0.1,0.5,0,none,50
S00063,0.2,128,10,3,0.1,0.5,0,full,1
S00064,0.2,128,10,3,0.1,0.5,0,full,10
S00065,0.2,128,10,3,0.1,0.5,0,full,50
S00066,0.2,128,10,3,0.1,0.5,5,none,1
S00067,0.2,128,10,3,0.1,0.5,5,none,10
S00068,0.2,128,10,3,0.1,0.5,5,none,50
S00069,0.2,128,10,3,0.1,0.5,5,full,1
S00070,0.2,128,10,3,0.1,0.5,5,full,10
S00071,0.2,128,10,3,0.1,0.5,5,full,50
S00072,0.2,128,10,3,0.9,0.05,0,none,1
S00073,0.2,128,10,3,0.9,0.05,0,none,10
S00074,0.2,128,10,3,0.9,0.05,0,none,50
S00075,0.2,128,10,3,0.9,0.05,0,full,1
S00076,0.2,128,10,3,0.9,0.05,0,full,10
S00077,0.2,128,10,3,0.9,0.05,0,full,50
S00078,0.2,128,10,3,0.9,0.05,5,none,1
S00079,0.2,128,10,3,0.9,0.05,5,none,10
S00080,0.2,128,10,3,0.9,0.05,5,none,50
S00081,0.2,128,10,3,0.9,0.05,5,full,1
S00082,0.2,128,10,3,0.9,0.05,5,full,10
S00083,0.2,128,10,3,0.9,0.05,5,full,50
S00084,0.2,128,10,3,0.9,0.5,0,none,1
S00085,0.2,128,10,3,0.9,0.5,0,none,10
S00086,0.2,128,10,3,0.9,0.5,0,none,50
S00087,0.2,128,10,3,0.9,0.5,0,full,1
S00088,0.2,128,10,3,0.9,0.5,0,full,10
S00089,0.2,128,10,3,0.9,0.5,0,full,50
S00090,0.2,128,10,3,0.9,0.5,5,none,1
S00091,0.2,128,10,3,0.9,0.5,5,none,10
S00092,0.2,128,10,3,0.9,0.5,5,none,50
S00093,0.2,128,10,3,0.9,0.5,5,full,1
S00094,0.2,128,10,3,0.9,0.5,5,full,10
S00095,0.2,128,10,3,0.9,0.5,5,full,50
S00096,0.2,128,100,1,0.1,0.05,0,none,1
S00097,0.2,128,100,1,0.1,0.05,0,none,10
S00098,0.2,128,100,1,0.1,0.05,0,none,50
S00099,0.2,128,100,1,0.1,0.05,0,full,1
S00100,0.2,128,100,1,0.1,0.05,0,full,10
S00101,0.2,128,100,1,0.1,0.05,0,full,50
S00102,0.2,128,100,1,0.1,0.05,5,none,1
S00103,0.2,128,100,1,0.1,0.05,5,none,10
S00104,0.2,128,100,1,0.1,0.05,5,none,50
S00105,0.2,128,100,1,0.1,0.05,5,full,1
S00106,0.2,128,100,1,0.1,0.05,5,full,10
S00107,0.2,128,100,1,0.1,0.05,5,full,50
S00108,0.2,128,100,1,0.1,0.5,0,none,1
S00109,0.2,128,100,1,0.1,0.5,0,none,10
S00110,0.2,128,100,1,0.1,0.5,0,none,50
S00111,0.2,128,100,1,0.1,0.5,0,full,1
S00112,0.2,128,100,1,0.1,0.5,0,full,10
S00113,0.2,128,100,1,0.1,0.5,0,full,50
S00114,0.2,128,100,1,0.1,0.5,5,none,1
S00115,0.2,128,100,1,0.1,0.5,5,none,10
S00116,0.2,128,100,1,0.1,0.5,5,none,50
S00117,0.2,128,100,1,0.1,0.5,5,full,1
S00118,0.2,128,100,1,0.1,0.5,5,full,10
S00119,0.2,128,100,1,0.1,0.5,5,full,50
S00120,0.2,128,100,1,0.9,0.05,0,none,1
S00121,0.2,128,100,1,0.9,0.05,0,none,10
S00122,0.2,128,100,1,0.9,0.05,0,none,50
S00123,0.2,128,100,1,0.9,0.05,0,full,1
S00124,0.2,128,100,1,0.9,0.05,0,full,10
S00125,0.2,128,100,1,0.9,0.05,0,full,50
S00126,0.2,128,100,1,0.9,0.05,5,none,1
S00127,0.2,128,100,1,0.9,0.05,5,none,10
S00128,0.2,128,100,1,0.9,0.05,5,none,50
S00129,0.2,128,100,1,0.9,0.05,5,full,1
S00130,0.2,128,100,1,0.9,0.05,5,full,10
S00131,0.2,128,100,1,0.9,0.05,5,full,50
S00132,0.2,128,100,1,0.9,0.5,0,none,1
S00133,0.2,128,100,1,0.9,0.5,0,none,10
S00134,0.2,128,100,1,0.9,0.5,0,none,50
S00135,0.2,128,100,1,0.9,0.5,0,full,1
S00136,0.2,128,100,1,0.9,0.5,0,full,10
S00137,0.2,128,100,1,0.9,0.5,0,full,50
S00138,0.2,128,100,1,0.9,0.5,5,none,1
S00139,0.2,128,100,1,0.9,0.5,5,none,10
S00140,0.2,128,100,1,0.9,0.5,5,none,50
S00141,0.2,128,100,1,0.9,0.5,5,full,1
S00142,0.2,128,100,1,0.9,0.5,5,full,10
S00143,0.2,128,100,1,0.9,0.5,5,full,50
S00144,0.2,128,100,3,0.1,0.05,0,none,1
S00145,0.2,128,100,3,0.1,0.05,0,none,10
S00146,0.2,128,100,3,0.1,0.05,0,none,50
S00147,0.2,128,100,3,0.1,0.05,0,full,1
S00148,0.2,128,100,3,0.1,0.05,0,full,10
S00149,0.2,128,100,3,0.1,0.05,0,full,50
S00150,0.2,128,100,3,0.1,0.05,5,none,1
S00151,0.2,128,100,3,0.1,0.05,5,none,10
S00152,0.2,128,100,3,0.1,0.05,5,none,50
S00153,0.2,128,100,3,0.1,0.05,5,full,1
S00154,0.2,128,100,3,0.1,0.05,5,full,10
S00155,0.2,128,100,3,0.1,0.05,5,full,50
S00156,0.2,128,100,3,0.1,0.5,0,none,1
S00157,0.2,128,100,3,0.1,0.5,0,none,10
S00158,0.2,128,100,3,0.1,0.5,0,none,50
S00159,0.2,128,100,3,0.1,0.5,0,full,1
S00160,0.2,128,100,3,0.1,0.5,0,full,10
S00161,0.2,128,100,3,0.1,0.5,0,full,50
S00162,0.2,128,100,3,0.1,0.5,5,none,1
S00163,0.2,128,100,3,0.1,0.5,5,none,10
S00164,0.2,128,100,3,0.1,0.5,5,none,50
S00165,0.2,128,100,3,0.1,0.5,5,full,1
S00166,0.2,128,100,3,0.1,0.5,5,full,10
S00167,0.2,128,100,3,0.1,0.5,5,full,50
S00168,0.2,128,100,3,0.9,0.05,0,none,1
S00169,0.2,128,100,3,0.9,0.05,0,none,10
S00170,0.2,128,100,3,0.9,0.05,0,none,50
S00171,0.2,128,100,3,0.9,0.05,0,full,1
S00172,0.2,128,100,3,0.9,0.05,0,full,10
S00173,0.2,128,100,3,0.9,0.05,0,full,50
S00174,0.2,128,100,3,0.9,0.05,5,none,1
S00175,0.2,128,100,3,0.9,0.05,5,none,10
S00176,0.2,128,100,3,0.9,0.05,5,none,50
